row,Hospital,year1,year2,year3,year4,
1717,"Lawrence and Memorial Hospital, founded 1912, is located in New London.  In FY 2009, the",,,,,
1718,"Hospital generated $15.5 million in income from operations and experienced a $425,000 non-",,,,,
1719,"operating loss, resulting in an excess of revenues over expenses of $15.1 million.  The Hospital",,,,,
1720,"reported 14,857 discharges and 69,025 patient days while staffing 252 of its 252 available beds.",,,,,
1721,"Reported below is a chart indicating all of the affiliates of Lawrence & Memorial Corporation,",,,,,
1722,"the parent corporation of the Hospital, followed by various financial indicators and selected",,,,,
1723,utilization measures.,,,,,
1725,LAWRENCE &,,,,,
1726,MEMORIAL,,,,,
1727,CORPORATION,,,,,
1729,"L & M Systems,",Lawrence &,VNA of,L & M Health,,
1730,Memorial,Lawrence & Memorial,,,,
1731,Inc.,Southeastern,"Care, Inc.",,,
1732,"Foundation, Inc.","Hospital, Inc.",,,,
1733,(Medical Practices),Connecticut,(Inactive),,,
1734,(inactive),,,,,
1736,L & M Physician,Specialists of,Southeast Health,,,
1737,"Association, Inc.","Southeastern CT,",“Partners” Inc.,,,
1741,Hospital Gross Revenue Payer Mix,Hospital Net Revenue Payer Mix,,,,
1743,Medicaid,Medicaid,,,,
1744,11%,8%,,,,
1746,Medical,2%,Assistance,0%,,
1747,Assistance,,1%,,,
1748,3%,Non-,,,,
1749,Government,Non-,,,,
1750,40%,Government,,,,
1751,Medicare/,Medicare/,53%,,,
1752,*TRICARE,*TRICARE,,,,
1753,44%,38%,,,,
1755,*TRICARE is indicated since it comprises greater than 1% of hospital gross and net revenues.,,,,,
1757,HOSPITAL STATEMENT OF OPERATIONS SUMMARY,2006,2007,2008,2009,
1758,Net Patient Revenue,"$239,687,026","$253,783,432","$265,186,141","$280,126,452",
1759,Other Operating Revenue,"$8,962,154","$9,007,840","$11,624,533","$12,934,063",
1760,Total Operating Revenue,"$248,649,180","$262,791,272","$276,810,674","$293,060,515",
1761,Total Operating Expenses,"$245,139,933","$258,602,461","$269,797,622","$277,530,735",
1762,Income/(Loss) from Operations,"$3,509,247","$4,188,811","$7,013,052","$15,529,780",
1763,Non Operating Revenue,"$10,067,180","$5,832,708","$1,675,251","-$425,131",
1764,Excess/(Deficiency) of Revenue over Expenses,"$13,576,427","$10,021,519","$8,688,303","$15,104,649",
1765,*Source: Hospital Audited Financial Statements,,,,,
1766,61,,,,,
1767,KEY RESULTS -  LAWRENCE & MEMORIAL HOSPITAL,,,,,
1769,PROFITABILITY SUMMARY,2006,2007,2008,2009,
1770,Hospital Operating Margins,1.36%,1.56%,2.52%,5.31%,
1771,Hospital Non Operating Margins,3.89%,2.17%,0.60%,-0.15%,
1772,Hospital Total Margins,5.25%,3.73%,3.12%,5.16%,
1773,COST DATA SUMMARY,,,,,
1774,Ratio of cost to charges,0.51,0.55,0.52,0.47,
1775,Private Payment to Cost Ratio,1.24,1.17,1.19,1.31,
1776,Medicare Payment to Cost Ratio,0.97,0.89,0.84,0.85,
1777,Medicaid Payment to Cost Ratio,0.64,0.57,0.67,0.70,
1778,LIQUIDITY MEASURES SUMMARY,,,,,
1779,Current Ratio,5.30,5.33,3.92,4.31,
1780,Days cash on hand,176,190,164,162,
1781,Days in patients accounts receivable,50,50,35,24,
1782,Average Payment Period,46,50,60,57,
1783,SOLVENCY MEASURES SUMMARY,,,,,
1784,Equity financing ratio,55.8,58.3,53.9,50.3,
1785,Cash flow to total debt ratio,25.7,22.5,20.7,29.1,
1786,Long-term debt to Capitalization Ratio,30.9,27.7,29.0,28.6,
1787,* Financial Measures noted in green indicate a favorable variance from the statewide average.,,,,,
1788,Financial Measures noted in red indicate an unfavorable variance from the statewide average.,,,,,
1789,NET ASSETS SUMMARY,,,,,
1790,Hospital Unrestricted Net Assets,"$149,311,009","$169,267,768","$153,923,993","$141,020,827",
1791,Hospital Total Net Assets,"$163,239,875","$184,346,636","$167,073,668","$163,776,737",
1792,UTILIZATION MEASURES SUMMARY,,,,,
1793,Patient Days,"68,709","69,509","71,524","69,025",
1794,Discharges,"14,701","14,553","15,085","14,857",
1795,ALOS,4.7,4.8,4.7,4.6,
1796,Staffed Beds,249,252,252,252,
1797,Available Beds,249,252,252,252,
1798,Licensed Beds,308,308,308,308,
1799,Occupancy of staffed beds,75%,76%,78%,75%,
1800,Occupancy of available beds,76%,76%,78%,75%,
1801,Full Time Equivalent Employees,"1,853.0","1,874.0","1,856.5","1,889.3",62
1803,KEY RESULTS -  LAWRENCE & MEMORIAL HOSPITAL,,,,,
1805,DISCHARGES,2006,2007,2008,2009,
1806,Non-Government (Including Uninsured),"5,005","5,121","5,204","4,741",
1807,Medicare,"6,113","6,103","6,340","6,498",
1808,Medical Assistance,"2,516","2,330","2,576","2,751",
1809,Medicaid,"1,953","1,885","2,189","2,254",
1810,Other Medical Assistance,563,445,387,497,
1811,Champus / TRICARE,"1,067",999,965,867,
1812,Uninsured (Included in Non-Government),125,278,245,217,
1813,Total Discharges,"14,701","14,553","15,085","14,857",
1814,CASE MIX INDEX,,,,,
1815,Non-Government (Including Uninsured),0.9463,0.9719,0.9817,0.9785,
1816,Medicare,1.2824,1.2524,1.307,1.3948,
1817,Medical Assistance,0.8003,0.8138,0.8574,0.8832,
1818,Medicaid,0.7417,0.7809,0.82,0.8517,
1819,Other Medical Assistance,1.0036,0.9532,1.0687,1.0259,
1820,Champus / TRICARE,0.7306,0.6946,0.7069,0.8339,
1821,Uninsured (Included in Non-Government),0.963,0.9199,0.9247,0.8974,
1822,Total Case Mix Index,1.0454,1.0452,1.0796,1.1345,
1823,UNCOMPENSATED CARE,,,,,
1824,Charity Care,"$2,061,057","$2,064,407","$2,983,821","$2,405,415",
1825,Bad Debts,"$12,734,062","$13,840,182","$16,989,650","$15,090,956",
1826,Total Uncompensated Care Charges,"$14,795,119","$15,904,589","$19,973,471","$17,496,371",
1827,Uncompensated Care Cost,"$7,522,247","$8,722,241","$10,460,923","$8,239,436",
1828,Uncompensated care % of total expenses,3.4%,3.4%,3.9%,3.0%,
1829,EMERGENCY DEPARTMENT VISITS,,,,,
1830,Emergency Room - Treated and Admitted,"7,790","6,787","7,398","6,855",
1831,Emergency Room - Treated and Discharged,"76,385","75,904","73,088","72,094",
1832,Total Emergency Room Visits,"84,175","82,691","80,486","78,949",
1834,63,,,,,
1836,MANCHESTER MEMORIAL HOSPITAL,,,,,
1838,"Manchester Memorial Hospital, founded in 1919, is located in Manchester.  In FY 2009, the",,,,,
1839,Hospital generated $7.4 million in income from operations and experienced a $1.5 million non-,,,,,
1840,"operating loss, resulting in an excess of revenues over expenses of $5.9 million.  The Hospital",,,,,
1841,"reported 8,989 discharges and 44,631 patient days while staffing 140 of its 283 available beds.",,,,,
1842,"Reported below is a chart indicating all of the affiliates of Eastern Connecticut Health Network,",,,,,
1843,"the parent corporation of the Hospital, and Rockville General Hospital, followed by various",,,,,
1844,financial indicators and selected utilization measures.,,,,,
1846,EASTERN,,,,,
1847,CONNECTICUT,,,,,
1848,"HEALTH NETWORK,",,,,,
1849,INC.,,,,,
1852,Manchester Memorial,Healthcare,ECHN Eldercare,Insurance Company,Rockville General,
1853,Hospital,"Foundation, Inc.","Services, Inc.",(Malpractice,"Hospital, Inc.",
1856,"ECHN Enterprises,",ECHN Health,ECHN Wellness,,ECHN Joint Ventures/,
1858,Inc.(Affiliate Support,"Services, Inc.",Women’s Center for,,Investments,
1859,Services),(Outpatient Care),Wellness,,,
1861,Haynes Street,Evergreen,,"Center, LLC","Endoscopy Center,",
1862,"Property Mgt,",Medical,,,LLC,
1863,LLC,"Associates, LLC",,,,
1864,Haynes Street,Evergreen,,Tolland Imaging,Aetna Ambulance,
1865,Medical,Medical,,"Center, LLC","Service, Inc.",
1866,"Associates, LLC","Associates II,",,,,
1867,LLC,,,,,
1868,Northeast Regional,,,,,
1869,Haynes Street,Radiation Oncology,Metro Wheelchair,,,
1870,Medical,"Network, dba","Service, Inc.",,,
1871,"Associates II,",Community Cancer Care,,,,
1872,LLC,,,,,
1877,For Profit Entity,Physician Hospital,Health Partners,,,
1878,"Org., Inc.",,,,,
1880,Manchester,,,,,
1881,Physician Hospital,,,,,
1882,Org. Inc. (Inactive),,,,,
1885,Medicaid,,,,,
1886,10%,Uninsured,Medicaid,,,
1890,Medical,,Assistance,,,
1891,Assistance,,2%,Non-,,
1892,3%,Non-,Government,,,
1893,Government,49%,,,,
1894,41%,,,,,
1896,Medicare,Medicare,,,,
1897,43%,39%,,,,
1898,HOSPITAL STATEMENT OF OPERATIONS SUMMARY,2006,2007,2008,2009,
1899,Net Patient Revenue,"$142,633,244","$149,979,081","$158,787,196","$167,264,862",
1900,Other Operating Revenue,"$12,420,579","$12,504,852","$12,748,275","$10,165,345",
1901,Total Operating Revenue,"$155,053,823","$162,483,933","$171,535,471","$177,430,207",
1902,Total Operating Expenses,"$152,677,477","$159,620,350","$161,925,493","$170,017,184",
1903,Income/(Loss) from Operations,"$2,376,346","$2,863,583","$9,609,978","$7,413,023",
1904,Non Operating Revenue,"-$2,191,792","$266,916","-$686,641","-$1,467,453",
1905,Excess/(Deficiency) of Revenue over Expenses,"$184,554","$3,130,499","$8,923,337","$5,945,570",
1906,*Source: Hospital Audited Financial Statements,,,,,64
1908,KEY RESULTS - MANCHESTER MEMORIAL HOSPITAL,,,,,
1910,PROFITABILITY SUMMARY,2006,2007,2008,2009,
1911,Hospital Operating Margins,1.55%,1.76%,5.62%,4.21%,
1912,Hospital Non Operating Margins,-1.43%,0.16%,-0.40%,-0.83%,
1913,Hospital Total Margins,0.12%,1.92%,5.22%,3.38%,
1914,COST DATA SUMMARY,,,,,
1915,Ratio of cost to charges,0.42,0.43,0.39,0.40,
1916,Private Payment to Cost Ratio,1.17,1.19,1.24,1.17,
1917,Medicare Payment to Cost Ratio,0.91,0.83,0.85,0.83,
1918,Medicaid Payment to Cost Ratio,0.68,0.67,0.76,0.75,
1919,LIQUIDITY MEASURES SUMMARY,,,,,
1920,Current Ratio,1.10,0.85,1.37,1.17,
1921,Days cash on hand,4,2,19,24,
1922,Days in patients accounts receivable,53,56,56,54,
1923,Average Payment Period,59,78,97,89,
1924,SOLVENCY MEASURES SUMMARY,,,,,
1925,Equity financing ratio,27.3,27.0,27.0,14.6,
1926,Cash flow to total debt ratio,11.5,14.7,21.4,15.9,
1927,Long-term debt to Capitalization Ratio,53.8,53.2,51.8,69.2,
1928,* Financial Measures noted in green indicate a favorable variance from the statewide average.,,,,,
1929,Financial Measures noted in red indicate an unfavorable variance from the statewide average.,,,,,
1930,NET ASSETS SUMMARY,,,,,
1931,Hospital Unrestricted Net Assets,"$27,425,124","$25,263,048","$28,644,838","$12,898,050",
1932,Hospital Total Net Assets,"$36,745,181","$35,762,930","$38,639,896","$21,927,867",
1933,UTILIZATION MEASURES SUMMARY,,,,,
1934,Patient Days,"44,593","44,817","43,813","44,631",
1935,Discharges,"8,981","9,085","8,972","8,989",
1936,ALOS,5.0,4.9,4.9,5.0,
1937,Staffed Beds,140,140,140,140,
1938,Available Beds,283,283,283,283,
1939,Licensed Beds,283,283,283,283,
1940,Occupancy of staffed beds,87%,88%,86%,87%,
1941,Occupancy of available beds,43%,43%,42%,43%,
1942,Full Time Equivalent Employees,"1,158.0","1,173.6","1,151.3","1,155.3",
1943,65,,,,,
1944,KEY RESULTS - MANCHESTER MEMORIAL HOSPITAL,,,,,
1946,DISCHARGES,2006,2007,2008,2009,
1947,Non-Government (Including Uninsured),"3,870","3,962","3,837","3,712",
1948,Medicare,"3,870","3,763","3,655","3,770",
1949,Medical Assistance,"1,222","1,348","1,466","1,488",
1950,Medicaid,984,"1,081","1,145","1,166",
1951,Other Medical Assistance,238,267,321,322,
1952,Champus / TRICARE,19,12,14,19,
1953,Uninsured (Included in Non-Government),110,165,176,182,
1954,Total Discharges,"8,981","9,085","8,972","8,989",
1955,CASE MIX INDEX,,,,,
1956,Non-Government (Including Uninsured),0.9219,0.9538,1.0319,1.0327,
1957,Medicare,1.3679,1.3804,1.4484,1.5307,
1958,Medical Assistance,0.7947,0.9031,0.9687,0.9701,
1959,Medicaid,0.763,0.8928,0.9488,0.9431,
1960,Other Medical Assistance,0.9258,0.9445,1.0397,1.0678,
1961,Champus / TRICARE,0.9694,0.9989,1.013,1.3137,
1962,Uninsured (Included in Non-Government),1.097,0.9708,0.9304,0.9866,
1963,Total Case Mix Index,1.0969,1.123,1.1912,1.2318,
1964,UNCOMPENSATED CARE,,,,,
1965,Charity Care,"$1,459,616","$1,555,301","$1,880,071","$1,418,730",
1966,Bad Debts,"$5,940,030","$6,075,976","$6,287,004","$7,895,004",
1967,Total Uncompensated Care Charges,"$7,399,646","$7,631,277","$8,167,075","$9,313,734",
1968,Uncompensated Care Cost,"$3,116,397","$3,303,619","$3,153,040","$3,767,739",
1969,Uncompensated care % of total expenses,2.3%,2.2%,2.0%,2.2%,
1970,EMERGENCY DEPARTMENT VISITS,,,,,
1971,Emergency Room - Treated and Admitted,"5,085","5,234","5,138","5,142",
1972,Emergency Room - Treated and Discharged,"24,021","39,598","38,996","40,513",
1973,Total Emergency Room Visits,"29,106","44,832","44,134","45,655",
1975,66,,,,,
1977,MIDDLESEX HOSPITAL,,,,,
1979,"Middlesex Hospital, founded in 1904, is located in Middletown.   In FY 2009, the Hospital",,,,,
1980,generated $21.2 million in income from operations and experienced a $2.4 million non-operating,,,,,
1981,"loss, resulting in an excess of revenues over expenses of $18.8 million.  The Hospital reported",,,,,
1982,"13,964 discharges and 57,628 patient days while staffing 176 of its 214 available beds.  Reported",,,,,
1983,"below is a chart indicating all of the affiliates of Middlesex Health System Incorporated, the",,,,,
1984,"parent corporation of the Hospital, followed by various financial indicators and selected",,,,,
1985,utilization measures.,,,,,
1987,MIDDLESEX,,,,,
1988,"HEALTH SYSTEM,",,,,,
1989,INC.,,,,,
1991,Integrated Resources,,,,,
1992,MHS Primary,Middlesex Health,Middlesex Health,for the Middlesex,,
1993,"Resources, Inc.","Services, Inc.",Middlesex Hospital,,,
1994,"Care, Inc.",(Real Estate),(Care for the Aged),"Area, LLC",,
1995,(PHO),,,,,
1997,Middlesex Center for,,,,,
1998,Hartford-Middlesex,Advanced Orthopedic,,,,
1999,"Clinical System, LLC","Surgery, LLC",,,,
2000,(Affiliate Support Services),,,,,
2001,(Ambulatory OP Surgery),,,,,
2002,For Profit Entity,,,,,
2004,Hospital Gross Revenue Payer Mix,,Hospital Net Revenue Payer Mix,,,
2005,Medicaid,,Medicaid,,,
2006,8%,Uninsured,5%,,,
2007,3%,,Medical,Uninsured,,
2008,Medical,Assistance,,1%,,
2009,Assistance,,,,,
2010,1%,,,,,
2011,3%,,,,,
2012,Non-,,,,,
2018,HOSPITAL STATEMENT OF OPERATIONS SUMMARY,2006,2007,2008,2009,
2019,Net Patient Revenue,"$250,355,000","$270,571,932","$292,835,665","$317,817,236",
2020,Other Operating Revenue,"$8,742,000","$10,264,619","$9,473,861","$9,128,624",
2021,Total Operating Revenue,"$259,097,000","$280,836,551","$302,309,526","$326,945,860",
2022,Total Operating Expenses,"$250,506,000","$272,687,506","$293,469,539","$305,762,315",
2023,Income/(Loss) from Operations,"$8,591,000","$8,149,045","$8,839,987","$21,183,545",
2024,Non Operating Revenue,"$4,616,000","$5,075,158","$1,919,000","-$2,393,000",
2025,Excess/(Deficiency) of Revenue over Expenses,"$13,207,000","$13,224,203","$10,758,987","$18,790,545",
2026,67,*Source: Hospital Audited Financial Statements,,,,
2028,KEY RESULTS - MIDDLESEX HOSPITAL,,,,,
2030,PROFITABILITY SUMMARY,2006,2007,2008,2009,
2031,Hospital Operating Margins,3.26%,2.85%,2.91%,6.53%,
2032,Hospital Non Operating Margins,1.75%,1.78%,0.63%,-0.74%,
2033,Hospital Total Margins,5.01%,4.63%,3.54%,5.79%,
2034,COST DATA SUMMARY,,,,,
2035,Ratio of cost to charges,0.42,0.42,0.39,0.36,
2036,Private Payment to Cost Ratio,1.27,1.17,1.20,1.31,
2037,Medicare Payment to Cost Ratio,0.93,0.87,0.82,0.86,
2038,Medicaid Payment to Cost Ratio,0.71,0.72,0.74,0.67,
2039,LIQUIDITY MEASURES SUMMARY,,,,,
2040,Current Ratio,2.41,2.51,2.09,2.17,
2041,Days cash on hand,56,53,58,86,
2042,Days in patients accounts receivable,55,57,49,45,
2043,Average Payment Period,51,55,58,67,
2044,SOLVENCY MEASURES SUMMARY,,,,,
2045,Equity financing ratio,56.7,54.8,50.5,36.9,
2046,Cash flow to total debt ratio,31.3,25.8,24.6,30.5,
2047,Long-term debt to Capitalization Ratio,26.2,30.1,31.5,35.5,
2048,* Financial Measures noted in green indicate a favorable variance from the statewide average.,,,,,
2049,Financial Measures noted in red indicate an unfavorable variance from the statewide average.,,,,,
2050,NET ASSETS SUMMARY,,,,,
2051,Hospital Unrestricted Net Assets,"$161,226,000","$179,992,000","$161,623,000","$124,916,000",
2052,Hospital Total Net Assets,"$172,557,000","$194,473,000","$175,804,000","$138,110,000",
2053,UTILIZATION MEASURES SUMMARY,,,,,
2054,Patient Days,"56,395","56,749","59,419","57,628",
2055,Discharges,"13,100","13,795","14,201","13,964",
2056,ALOS,4.3,4.1,4.2,4.1,
2057,Staffed Beds,177,163,176,176,
2058,Available Beds,219,219,214,214,
2059,Licensed Beds,297,297,297,297,
2060,Occupancy of staffed beds,87%,95%,92%,90%,
2061,Occupancy of available beds,71%,71%,76%,74%,
2062,Full Time Equivalent Employees,"1,823.0","1,872.8","1,911.0","1,977.0",68
2064,KEY RESULTS - MIDDLESEX HOSPITAL,,,,,
2066,DISCHARGES,2006,2007,2008,2009,
2067,Non-Government (Including Uninsured),"5,271","5,236","5,141","4,892",
2068,Medicare,"6,317","7,051","7,515","7,401",
2069,Medical Assistance,"1,489","1,479","1,509","1,635",
2070,Medicaid,"1,211","1,199","1,249","1,313",
2071,Other Medical Assistance,278,280,260,322,
2072,Champus / TRICARE,23,29,36,36,
2073,Uninsured (Included in Non-Government),388,413,416,350,
2074,Total Discharges,"13,100","13,795","14,201","13,964",
2075,CASE MIX INDEX,,,,,
2076,Non-Government (Including Uninsured),0.9794,0.9931,1.0326,1.0564,
2077,Medicare,1.2632,1.2451,1.2907,1.329,
2078,Medical Assistance,0.7658,0.8031,0.8478,0.872,
2079,Medicaid,0.7347,0.7727,0.8177,0.841,
2080,Other Medical Assistance,0.9013,0.9332,0.9922,0.9982,
2081,Champus / TRICARE,1.0075,0.7652,0.8664,0.9705,
2082,Uninsured (Included in Non-Government),0.9029,0.9309,0.9886,1.0072,
2083,Total Case Mix Index,1.092,1.1011,1.1491,1.1791,
2084,UNCOMPENSATED CARE,,,,,
2085,Charity Care,"$2,813,137","$3,830,903","$4,682,373","$7,535,167",
2086,Bad Debts,"$13,290,904","$15,972,374","$19,516,594","$17,055,645",
2087,Total Uncompensated Care Charges,"$16,104,041","$19,803,277","$24,198,967","$24,590,812",
2088,Uncompensated Care Cost,"$6,692,149","$8,364,034","$9,432,675","$8,817,506",
2089,Uncompensated care % of total expenses,2.9%,3.1%,3.2%,2.9%,
2090,EMERGENCY DEPARTMENT VISITS,,,,,
2091,Emergency Room - Treated and Admitted,"8,516","6,815","9,956","8,816",
2092,Emergency Room - Treated and Discharged,"76,420","80,354","84,743","83,476",
2093,Total Emergency Room Visits,"84,936","87,169","94,699","92,292",
2095,69,,,,,
2097,MIDSTATE MEDICAL CENTER,,,,,
2099,MidState Medical Center opened in 1998 as the successor to Veterans Memorial Medical Center in a,,,,,
2100,"new facility that is located in Meriden.  In FY 2009, the Hospital generated $5.7 million in income",,,,,
2101,"from operations and experienced a $346,000 non-operating loss, resulting in an excess of revenues",,,,,
2102,"over expenses of $5.4 million.  The Hospital reported 9,955 discharges and 42,873 patient days while",,,,,
2103,staffing 140 of its 142 available beds.  Reported below is a chart indicating all of the affiliates of,,,,,
2104,"Hartford Healthcare Corporation, the parent corporation of the Hospital, Hartford Hospital and",,,,,
2105,"Windham Community Memorial Hospital, followed by various financial indicators and selected",,,,,
2106,utilization measures.,,,,,
2108,HARTFORD,,,,,
2109,HEALTH CARE,,,,,
2110,CORPORATION,,,,,
2112,Clinical Laboratory,MidState Medical,Hartford Hospital,H.H.M.O.B.,Windham,
2113,"Partners, LLC",Center,(Jefferson House),Corporation,Community,
2114,(Lab),,,(Real Estate),Memorial Hospital,
2115,"Rushford Center,",Meriden Imaging,,Immediate Medical,Windham Health,
2116,Inc.,"Center, Inc.",Institute of Living,Care Center,"Services, Inc.",
2117,(Mental Health Facility),(Imaging Services),(Mental Health Facility),(Other Health Care,(Other Health Care,
2120,Natchaug Hospital,"Midstate MSO, LLC","Clinical Systems,",Rehabilitation,Windham Hospital,
2121,(Mental Health Facility),,"Inc., LLC",Network,Foundation,
2123,VNA  Health,,,,Windham,
2124,"Care, Inc.",,CHS Insurance,,Professional Office,
2125,(Affiliate Support,,Limited,Condo Association,,
2126,Services),,,,,
2128,VNA Health,,,,,
2129,Resources,,,,,
2130,(Home Health VNAs),For Profit Entity,,,,
2132,Hospital Gross Revenue Payer Mix,Hospital Net Revenue Payer Mix,,,,
2134,Medicaid,Uninsured,8%,,,
2135,11%,Uninsured,,,,
2136,3%,Medical,,,,
2138,Medical,Assistance,,,,
2139,Assistance,1%,,,,
2140,3%,,,,,
2141,Non-,,,,,
2142,Non-,Government,,,,
2144,Medicare,37%,38%,,,
2145,46%,,,,,
2147,HOSPITAL STATEMENT OF OPERATIONS SUMMARY,2006,2007,2008,2009,
2148,Net Patient Revenue,"$146,957,750","$154,243,792","$166,466,604","$172,470,335",
2149,Other Operating Revenue,"$4,069,839","$5,745,078","$5,307,321","$6,514,587",
2150,Total Operating Revenue,"$151,027,589","$159,988,870","$171,773,925","$178,984,922",
2151,Total Operating Expenses,"$146,864,286","$153,965,816","$167,113,696","$173,269,841",
2152,Income/(Loss) from Operations,"$4,163,303","$6,023,054","$4,660,229","$5,715,081",
2153,Non Operating Revenue,"-$141,819","$2,837,373","-$908,510","-$345,750",
2154,Excess/(Deficiency) of Revenue over Expenses,"$4,021,484","$8,860,427","$3,751,719","$5,369,331",
2156,*Source: Hospital Audited Financial Statements,70,,,,
2158,KEY RESULTS - MIDSTATE MEDICAL CENTER,,,,,
2160,PROFITABILITY SUMMARY,2006,2007,2008,2009,
2161,Hospital Operating Margins,2.76%,3.70%,2.73%,3.20%,
2162,Hospital Non Operating Margins,-0.09%,1.74%,-0.53%,-0.19%,
2163,Hospital Total Margins,2.67%,5.44%,2.20%,3.01%,
2164,COST DATA SUMMARY,,,,,
2165,Ratio of cost to charges,0.50,0.47,0.48,0.49,
2166,Private Payment to Cost Ratio,1.41,1.49,1.44,1.39,
2167,Medicare Payment to Cost Ratio,0.84,0.85,0.85,0.80,
2168,Medicaid Payment to Cost Ratio,0.70,0.59,0.72,0.75,
2169,LIQUIDITY MEASURES SUMMARY,,,,,
2170,Current Ratio,4.36,4.42,3.78,2.38,
2171,Days cash on hand,83,100,101,91,
2172,Days in patients accounts receivable,46,47,40,39,
2173,Average Payment Period,33,37,41,61,
2174,SOLVENCY MEASURES SUMMARY,,,,,
2175,Equity financing ratio,45.0,44.2,34.3,25.0,
2176,Cash flow to total debt ratio,17.0,24.2,12.4,12.8,
2177,Long-term debt to Capitalization Ratio,45.4,42.8,54.5,60.2,
2178,* Financial Measures noted in green indicate a favorable variance from the statewide average.,,,,,
2179,Financial Measures noted in red indicate an unfavorable variance from the statewide average.,,,,,
2180,NET ASSETS SUMMARY,,,,,
2181,Hospital Unrestricted Net Assets,"$64,354,629","$68,816,228","$63,218,152","$48,490,546",
2182,Hospital Total Net Assets,"$72,030,202","$77,200,784","$71,309,938","$54,907,397",
2183,UTILIZATION MEASURES SUMMARY,,,,,
2184,Patient Days,"43,720","44,321","45,363","42,873",
2185,Discharges,"9,809","9,664","9,722","9,955",
2186,ALOS,4.5,4.6,4.7,4.3,
2187,Staffed Beds,136,136,136,140,
2188,Available Beds,136,142,142,142,
2189,Licensed Beds,142,142,156,156,
2190,Occupancy of staffed beds,88%,89%,91%,84%,
2191,Occupancy of available beds,88%,86%,88%,83%,
2192,Full Time Equivalent Employees,866.0,866.4,909.0,950.5,
2193,71,,,,,
2194,KEY RESULTS - MIDSTATE MEDICAL CENTER,,,,,
2196,DISCHARGES,2006,2007,2008,2009,
2197,Non-Government (Including Uninsured),"3,606","3,450","3,369","3,390",
2198,Medicare,"4,627","4,671","4,630","4,708",
2199,Medical Assistance,"1,562","1,531","1,718","1,847",
2200,Medicaid,"1,343","1,308","1,516","1,542",
2201,Other Medical Assistance,219,223,202,305,
2202,Champus / TRICARE,14,12,5,10,
2203,Uninsured (Included in Non-Government),267,284,297,302,
2204,Total Discharges,"9,809","9,664","9,722","9,955",
2205,CASE MIX INDEX,,,,,
2206,Non-Government (Including Uninsured),0.9213,0.9343,0.9777,1.0084,
2207,Medicare,1.3326,1.3537,1.4338,1.4452,
2208,Medical Assistance,0.7375,0.8,0.8144,0.8053,
2209,Medicaid,0.6858,0.7405,0.7745,0.7564,
2210,Other Medical Assistance,1.0541,1.1492,1.1139,1.0522,
2211,Champus / TRICARE,0.609,0.867,1.0625,1.9141,
2212,Uninsured (Included in Non-Government),0.8417,0.869,0.8608,0.8855,
2213,Total Case Mix Index,1.0856,1.1156,1.1661,1.1782,
2214,UNCOMPENSATED CARE,,,,,
2215,Charity Care,"$1,088,022","$850,136","$3,077,163","$3,370,587",
2216,Bad Debts,"$7,757,631","$8,836,211","$9,879,112","$9,717,615",
2217,Total Uncompensated Care Charges,"$8,845,653","$9,686,347","$12,956,275","$13,088,202",
2218,Uncompensated Care Cost,"$4,432,370","$4,575,133","$6,173,100","$6,403,138",
2219,Uncompensated care % of total expenses,3.2%,3.1%,3.9%,3.7%,
2220,EMERGENCY DEPARTMENT VISITS,,,,,
2221,Emergency Room - Treated and Admitted,"6,018","6,022","6,098","6,415",
2222,Emergency Room - Treated and Discharged,"61,238","63,826","61,902","60,480",
2223,Total Emergency Room Visits,"67,256","69,848","68,000","66,895",
2225,72,,,,,
2227,MILFORD HOSPITAL,,,,,
2229,"Milford Hospital, founded in 1920, is located in Milford.   In FY 2009, the Hospital experienced a",,,,,
2230,"$4.9 million loss from operations and realized a $1.3 million non-operating gain, resulting in a",,,,,
2231,"deficiency of revenues over expenses of $3.6 million.  The Hospital reported 4,800 discharges and",,,,,
2232,"20,370 patient days while staffing 59 of its 118 available beds.  Reported below is a chart indicating",,,,,
2233,"all of the affiliates of Milford Health and Medical, Incorporated, the parent corporation of the",,,,,
2234,"Hospital, followed by various financial indicators and selected utilization measures.",,,,,
2236,MILFORD HEALTH,,,,,
2237,"AND MEDICAL, INC.",,,,,
2240,"Milford Hospital, Inc.","Foundation, Inc.","Services, Inc.",Corporation,Inc.,Torry Corporation
2244,"SBDI Associates,","SBDI Holding,",Milford Medical,Seabridge Aesthetic,,
2245,LLC,LLC,"Laboratory, Inc.","Center - SBAC, LLC",,
2262,HOSPITAL STATEMENT OF OPERATIONS SUMMARY,,2006,2007,2008,
2263,Net Patient Revenue,,"$71,940,125","$76,632,879","$83,253,020",
2264,Other Operating Revenue,,"$643,905","$1,092,359","$974,502",
2265,Total Operating Revenue,,"$72,584,030","$77,725,238","$84,227,522",
2266,Total Operating Expenses,,"$75,633,048","$82,425,087","$85,362,191",
2267,Income/(Loss) from Operations,,"-$3,049,018","-$4,699,849","-$1,134,669",
2268,Non Operating Revenue,,"$5,336,228","$4,943,031","-$3,919,816",
2269,Excess/(Deficiency) of Revenue over Expenses,,"$2,287,210","$243,182","-$5,054,485",
2270,*Source: Hospital Audited Financial Statements,,,,,
2271,73,,,,,
2272,KEY RESULTS - MILFORD HOSPITAL,,,,,
2274,PROFITABILITY SUMMARY,2006,2007,2008,2009,
